DOI,PMID,arXiv ID,Title,Abstract,Authors,Journal,Year
10.1145/1592761.1592779,,,Scratch: programming for all,"""Digital fluency"" should mean designing, creating, and remixing, not just browsing, chatting, and interacting.","Geoffrey L. Herman,Michael C. Loui,Craig Zilles",Communications of The ACM,2009
10.1145/2729094.2742599,,,A Comparison of Preschool and Elementary School Children Learning Computer Science Concepts through a Multilanguage Robot Programming Platform,"This paper describes a school intervention to teach fundamental Computer Science (CS) concepts to 3-11 year old students with a multilanguage robot programming platform (using drag and drop, Python and C++ languages) in Argentina. We analyze students' performance and learning process based on multiple choice test and classroom observations. Data show that all students can intuitively learn sequence, conditional, loops and parameters and that girls performed slightly better than boys. Older students can easily combine these concepts to write a program. The multilanguage platform promotes student spontaneous exploration of more sophisticated CS concepts and languages. These findings imply that introducing CS in mandatory schooling from an inquiry based approach is both achievable and beneficial.","George Siemens,Ryan S. Baker",,2015
10.1145/2485760.2485785,,,Designing ScratchJr: support for early childhood learning through computer programming,"ScratchJr is a graphical programming language based on Scratch and redesigned for the unique developmental and learning needs of children in kindergarten to second grade. The creation of ScratchJr addresses the relative lack of powerful technologies for digital creation and computer programming in early childhood education. ScratchJr will provide software for children to create interactive, animated stories as well as curricula and online resources to support adoption by educators. This paper describes the goals and challenges of creating a developmentally appropriate programming tool for children ages 5-7 and presents the path from guiding principles and studies with young children to current ScratchJr designs and plans for future work.","Gerard Salton,A. Wong,C. S. Yang",,2013
10.1007/s10643-012-0554-5,,,The Effect of a Classroom-Based Intensive Robotics and Programming Workshop on Sequencing Ability in Early Childhood,"This paper examines the impact of programming robots on sequencing ability during a 1-week intensive robotics workshop at an early childhood STEM magnet school in the Harlem area of New York City. Children participated in computer programming activities using a developmentally appropriate tangible programming language CHERP, specifically designed to program a robot’s behaviors. The study assessed 27 participants’ sequencing skills before and after the programming and robotics curricular intervention using a picture-story sequencing task and compared those skills to a control group. Pre-test and post-test scores were compared using a paired sample t test. The group of children who participated in the 1-week robotics and programming workshop experienced significant increases in post-test compared to pre-test sequencing scores.","Giora Alexandron,Jos A. Ruiprez-Valiente,Zhongzhou Chen,Pedro J. Muoz-Merino,David E. Pritchard",Early Childhood Education Journal,2013
10.1145/611892.611966,,,Teaching objects-first in introductory computer science,"An objects-first strategy for teaching introductory computer science courses is receiving increased attention from CS educators. In this paper, we discuss the challenge of the objects-first strategy and present a new approach that attempts to meet this challenge. The new approach is centered on the visualization of objects and their behaviors using a 3D animation environment. Statistical data as well as informal observations are summarized to show evidence of student performance as a result of this approach. A comparison is made of the pedagogical aspects of this new approach with that of other relevant work.","Giora Alexandron,Lisa Y. Yoo,Jose Antonio Ruiperez Valiente,José A. Ruipérez-Valiente,Sunbok Lee,David E. Pritchard",,2003
10.14742/ajet.1077,,,Preschool cookbook of computer programming topics,"A common problem in computer programming use for education in general, not simply as a technical skill, is that children and teachers find themselves constrained by what is possible through limited expertise in computer programming techniques. This is particularly noticeable at the preliterate level, where constructs tend to be limited to extremely simple elements. Having worked for 4 years with over 150 children, aged 3 to 5, we present age-appropriate computer programming activities involving different computer programming techniques, from the basic (computer language syntax) to the advanced (client-server). These may contribute to expand the panorama on viable computer programming techniques available to children and educators, thus broadening the variety of educational activities and projects that can be approached in educational settings using computer programming.","Giovanni Maria Troiano,Sam Snodgrass,Erinç Argımak,Gregorio Robles,Gillian Smith,Gillian Smith,Michael Cassidy,Michael R. Cassidy,Eli Tucker-Raymond,Gillian Puttick,Casper Harteveld",Australasian Journal of Educational Technology,2010
10.1145/2677087,,,From Scratch to “Real” Programming,"Computer science (CS) activities for young students are widely used, particularly visual programming environments. We investigated the use of the Scratch environment for teaching CS concepts to middle school students. In a previous article [Meerbaum-Salant et al. 2013], we reported on the extent to which the CS concepts were successfully learned. In this article, we look at the transition from studying CS with the visual Scratch environment in middle school to studying CS with a professional textual programming language (C# or Java) in secondary school. We found that the programming knowledge and experience of students who had learned Scratch greatly facilitated learning the more advanced material in secondary school: less time was needed to learn new topics, there were fewer learning difficulties, and they achieved higher cognitive levels of understanding of most concepts (although at the end of the teaching process, there were no significant differences in achievements compared to students who had not studied Scratch). Furthermore, there was increased enrollment in CS classes, and students were observed to display higher levels of motivation and self-efficacy. This research justifies teaching CS in general and visual programming in particular in middle schools.","GoldmanKen,GrossPaul,HeerenCinda,HermanGeoffrey,KaczmarczykLisa,C LouiMichael,ZillesCraig",ACM Transactions on Computing Education,2015
,,,Computer science unplugged: school students doing real computing without computers,"The Computer Science Unplugged project provides ways to expose students to ideas from Computer Science without having to use computers. This has a number of applications, including outreach, school curriculum support, and clubs. The “Unplugged” project, based at Canterbury University, uses activities, games, magic tricks and competitions to show children the kind of thinking that is expected of a computer scientist. All of the activities are available free of charge at csunplugged.org. The project has recently enjoyed widespread adoption internationally, and substantial industry support. It is recommended in the ACM K-12 curriculum, and has been translated into 12 languages. As well as simply providing teaching resources, there is a very active program developing and evaluating new formats and activities. This includes adaptations of the kinaesthetic activities in virtual worlds; integration with other outreach tools such as the Alice language, adaptation for use by students in large classrooms, and videos to help teachers and presenters understand how to use the material. This paper will explore why this approach has become popular, and describe developments and adaptations that are being used for outreach and teaching around New Zealand, as well as internationally.",Gregory Dyke,Journal of Applied Computing and Information Technology,2009
10.1145/2899415.2899460,,,Lessons Learned on Computer Science Teachers Professional Development,"This paper describes an introductory Computer Science (CS) Professional Development (PD) course for K-12 teachers in Argentina that integrates pedagogical content knowledge and teacher classroom practice. We analyzed teachers' learning of what CS entails and the implementation of inquirybased programming lessons in their schools. Based on pre and post teachers surveys and classroom observations, we found that most teachers learned about the CS object of study and about fundamental programming concepts such as conditionals, loops, variables, etc. Teachers were more likely to replicate the same activities they experienced during PD workshops in their classrooms than to produce their own. Teachers who had a previous background on CS provided in-depth explanations of CS concepts to their students while other teachers superficially introduced the content knowledge. We describe PD activities and characteristics that could explain teachers' learning and incorporation of programming lessons. Findings imply that a PD program that integrates pedagogical content knowledge and teachers classroom practice can effectively improve inquiry-based CS teaching, but may be insufficient preparation for teachers with no previous background on CS.","Griet Lust,Jan Elen,Geraldine Clarebout",,2016
10.1016/j.chb.2015.05.047,,,A new way of teaching programming skills to k 12 students,"The aim of this study is to investigate the effects of programming with code.org site on reflective thinking skills towards problem solving.Programming with code.org site did not cause any differences in reflective thinking skills toward problem solving.Students developed a positive attitude towards programming.Female students showed that they were as successful as the male students. This study attempts to investigate the effect of teaching code.org site on reflective thinking skills towards problem solving. More specifically, this study attempts to investigate whether there is a gender difference in terms of students' reflective thinking skills towards problem solving. This triangulation study was conducted with 32 primary school students. The quantitative part of the study was conducted in pre-test/post-test comparison design of quasi-experimental design. The scores of reflective problem solving skills were gathered through the reflective thinking skill scale towards problem solving and the students' performances in the code-org site were examined. In the qualitative part of the research, after the five-week experimental process, focus group interviews were conducted with ten students and a reflection paper from the IT teacher was analysed. According to the t-test results, teaching programming to primary school students in the code.org site did not cause any differences in reflective thinking skills towards problem solving. However, there is a slight increment in the means of female students' reflective thinking skills towards problem solving over the males' reflective thinking skills towards problem solving. On the other hand, qualitative data provided more information about the students' experiences. Students developed a positive attitude towards programming, and female students showed that they were as successful as their male counterparts, and that programming could be part of their future plans.","Guolin Ke,Guolin Ke,Qi Meng,Thomas William Finley,Taifeng Wang,Wei Chen,Wei Chen,Wei Chen,Wei Chen,Weidong Ma,Qiwei Ye,Tie-Yan Liu",Computers in Human Behavior,2015
10.1177/0047239515627263,,,Identifying Novice Student Programming Misconceptions and Errors From Summative Assessments,"This article presents a study aimed at examining the novice student answers in an introductory programming final e-exam to identify misconceptions and types of errors. Our study used the Delphi concept inventory to identify student misconceptions and skill, rule, and knowledge-based errors approach to identify the types of errors made by novices in Python programming. The students' responses to each question were scrutinized by using the Delphi concept inventory, heuristic-analytic theory, and neo-Piagetian theory of cognitive development for qualitative data analysis. Moreover, the motivation for this exploratory study was to also address the misconceptions that students held in programming and help educators to redefine the teaching methods to correct those alternative conceptions. Student misconceptions were spotted in list referencing and inbuilt functions in Python. In a further quantitative analysis, the study found that students who had misconceptions made knowledge errors and failed to complete the coding tasks. Surprisingly, and coincidentally, it was identified that only a few students were able to write code related to mathematical problems.",H. Lynn Erickson,Journal of Educational Technology Systems,2016
10.1145/3024906.3024913,,,Understanding the benefits of game jams: Exploring the potential for engaging young learners in STEM,"There is a wide range of implementations of game jams throughout the world. Game jams have been organized in a number of different formats, themes, and timeframes [43]. What they all have in common is the opportunity for participants to make a game within a specified constraint such as time, location, technology, or theme. Additionally, game jams as social experience support active and collaborative learning formats. In this paper, we discuss the potential of game jams for young learners, describe successful jam events in this context, and provide a list of tools useful for organizing game jams for this target group.","Hao-Chuan Wang,Chun-Yen Chang,Tsai-Yen Li",,2016
10.1109/clei.2017.8226428,,,The GOBSTONES method for teaching computer programming,"Within the context of Argentina universities that have computer science degrees in their curricula, one of the major challenges is to teach an introductory programming course for the first semester. The problem appears because the students come with serious deficiencies from their previous education level (secondary schools). Among these deficiencies, we identify their lack of abstraction capabilities and mathematical skills, which are usually considered as prerrequisites to take a programming course. This article introduces the GOBSTONES method for teaching an introductory programming course. The method was developed at the Universidad Nacional de Quilmes in Argentina, taking into account the described background of the students, and has shown a positive impact by improving the passing rate of those students. GOBSTONES method's main goal was to foster abstraction and abstract thinking to students that have not developed good abstraction skills. A programming language, also called GOB-STONES, was developed to implement the ideas presented herein. The method focuses on the representation of information, both at the level of code in the form of procedures to express abstraction, and at the level of the universe of discourse, which is a concrete one, but allowing the representation of information in a simple way. Moreover, the tools implementing GOBSTONES have a feature that enables the student to see a visualization of the represented elements.","Harshal Chaudhari,Martin Crane",,2017
10.1145/3159450.3159579,,,The Effect of a Web-based Coding Tool with Automatic Feedback on Students' Performance and Perceptions,"In this paper we do three things. First, we describe a web-based coding tool that is open-source, publicly available and provides formative feedback and assessment. Second, we compare several metrics on student performance in courses that use the tool versus courses that do not use it when learning to program in Haskell. We find that the dropout rates are significantly lower in those courses that use the tool at two different universities. Finally we apply the technology acceptance model to analyse students perceptions.","Heather Killen,David Weintrop,Megean Garvin",,2018
,,,Programming osmosis: Knowledge transfer from imperative to visual programming environments,,"Hiroki Kitaya,Ushio Inoue",,2007
,,,Teaching objects-first in introductory computer science,"An objects-first strategy for teaching introductory computer science courses is receiving increased attention from CS educators. In this paper, we discuss the challenge of the objects-first strateg...","Holger Danielsiek,Wolfgang Paul,Jan Vahrenhold",ACM Sigcse Bulletin,2003
,,,Improving secondary CS education,The Institute for Computing Education (ICE) was created in the spring of 2004. ICE is a partnership between the Georgia Department of Education and the College of Computing at Georgia Tech. The goa...,"HristovaMaria,MisraAnanya,RutterMegan,MercuriRebecca",ACM Sigcse Bulletin,2007
10.1145/1227504.1227386,,,Through the looking glass,This work analyzes the advantages and disadvantages of using the novice programming environment Alice in the CS0 classroom. We consider both general aspects as well as specifics drawn from the authors' experiences using Alice in the classroom over the course of the last academic year.,"Hsi-Min Chen,Bao-An Nguyen,Yi-Xiang Yan,Chyi-Ren Dow",SIGCSE bulletin,
10.1145/2538862.2539022,,,Snap! (build your own blocks) (abstract only),,"Hua-Hua Chang,Chun Wang",,
10.1145/2787622.2787710,,,The Normalized Programming State Model: Predicting Student Performance in Computing Courses Based on Programming Behavior,"Educators stand to benefit from advance predictions of their students' course performance based on learning process data collected in their courses. Indeed, such predictions can help educators not only to identify at-risk students, but also to better tailor their instructional methods. In computing education, at least two different measures, the Error Quotient and Watwin Score, have achieved modest success at predicting student course performance based solely on students' compilation attempts. We hypothesize that one can achieve even greater predictive power by considering students' programming activities more holistically. To that end, we derive the Normalized Programming State Model (NPSM), which characterizes students' programming activity in terms of the dynamically-changing syntactic and semantic correctness of their programs. In an empirical study, the NPSM accounted for 41% of the variance in students' programming assignment grades, and 36% of the variance in students' final course grades. We identify the components of the NPSM that contribute to its explanatory power, and derive a formula capable of predicting students' course programming performance with between 36 and 67 percent accuracy, depending on the quantity of programming process data.","Huan Wei,Haotian Li,Meng Xia,Yong Wang,Huamin Qu",,2015
10.1145/1151588.1151600,,,Methods and tools for exploring novice compilation behaviour,"Our research explores what we call compilation behaviour: the programming behaviour a student engages in while repeatedly editing and compiling their programs. This edit-compile cycle often represents students' attempts to make their programs syntactically, as opposed to semantically, correct. Over the course of two years, we have observed first-year university students learning to program in Java, collecting and studying thousands of snapshots of their programs from one compilation to the next. At the University of Kent, students are introduced to programming in an objects-first style using BlueJ, an environment intended for use by novice programmers.","Huy Nguyen,Yeyu Wang,Yeyu Wang,John C. Stamper,Bruce M. McLaren",,2006
10.1145/234867.234872,,,Programming pedagogy—a psychological overview,"Can we turn novices into experts in a four year undergraduate program? If so, how? If not, what is the best we can do? While every teacher has his/her own opinion on these questions, psychological studies over the last twenty years have started to furnish scientific answers. Unfortunately, little of these results have been incorporated into curricula or textbooks. This report is a brief overview of some of the more important results concerning computer programming and how they can affect course design.","I-Han Hsiao,Piyush Awasthi",,1996
10.1145/2538862.2538930,,,No tests required: comparing traditional and dynamic predictors of programming success,"Research over the past fifty years into predictors of programming performance has yielded little improvement in the identification of at-risk students. This is possibly because research to date is based upon using static tests, which fail to reflect changes in a student's learning progress over time. In this paper, the effectiveness of 38 traditional predictors of programming performance are compared to 12 new data-driven predictors, that are based upon analyzing directly logged data, describing the programming behavior of students. Whilst few strong correlations were found between the traditional predictors and performance, an abundance of strong significant correlations based upon programming behavior were found. A model based upon two of these metrics (Watwin score and percentage of lab time spent resolving errors) could explain 56.3% of the variance in coursework results. The implication of this study is that a student's programming behavior is one of the strongest indicators of their performance, and future work should continue to explore such predictors in different teaching contexts.","I-Han Hsiao,Sesha Kumar Pandhalkudi Govindarajan,Yi-Ling Lin",,2014
10.1145/2538862.2538924,,,Blackbox: a large scale repository of novice programmers' activity,"Automatically observing and recording the programming behaviour of novices is an established computing education research technique. However, prior studies have been conducted at a single institution on a small or medium scale, without the possibility of data re-use. Now, the widespread availability of always-on Internet access allows for data collection at a much larger, global scale. In this paper we report on the Blackbox project, begun in June 2013. Blackbox is a perpetual data collection project that collects data from worldwide users of the BlueJ IDE -- a programming environment designed for novice programmers. Over one hundred thousand users have already opted-in to Blackbox. The collected data is anonymous and is available to other researchers for use in their own studies, thus benefitting the larger research community. In this paper, we describe the data available via Blackbox, show some examples of analyses that can be performed using the collected data, and discuss some of the analysis challenges that lie ahead.","I-Han Hsiao,Yi-Ling Lin",,2014
10.2190/gujt-jcbj-q6qu-q9pl,,,Conditions of Learning in Novice Programmers,"Under normal instructional circumstances, some youngsters learn programming in BASIC or LOGO much better than others. Clinical investigations of novice programmers suggest that this happens in part...","Ibrahim Halloun,David Hestenes",Journal of Educational Computing Research,1986
10.1016/j.chb.2015.11.021,,,Effectiveness of gamification in the engagement of students,"This research aims to evaluate the effectiveness of gamification platforms as a strategy for the engagement of students from the 8th year of elementary school in Brazil. We chose two badging platforms - ClassDojo and ClassBadges - to be evaluated based on 7 different criteria. The main objectives were to generate involvement among individual and particular situations, increasing the interest, engagement and efficiency while performing a specific task. We observed the behavior of 61 students from an elementary public school in Brazil as part of our field research. Data were collected using observation, semi-structured interviews and questionnaires. Quantitative data were statistically analyzed using a multivariate technique known as cluster analysis. The results allowed us to classify students in 4 distinct groups and showed that students who received more rewards from the teacher got significantly better average performances. Cluster analysis was used to classify student engagement.Students with low engagement can be stimulated to do this activities through gamification techniques.Engagement indicators were identified and may be useful for future research in the area.Teacher participations is absolutely necessary to create experiences that include game mechanics for students.The objectives to be achieved in the classroom should be adherent with the mechanics of games.","Ilya Musabirov,Alina Bakhitova",Computers in Human Behavior,2016
10.1145/2899415.2899463,,,A New Metric to Quantify Repeated Compiler Errors for Novice Programmers,"Encountering the same compiler error repeatedly, particularly several times consecutively, has been cited as a strong indicator that a student is struggling with important programming concepts. Despite this, there are relatively few studies which investigate repeated errors in isolation or in much depth. There are also few data-driven metrics for measuring programming performance, and fewer for measuring repeated errors. This paper makes two contributions. First we introduce a new metric to quantify repeated errors, the repeated error density (RED). We compare this to Jadud's Error Quotient (EQ), the most studied metric, and show that RED has advantages over EQ including being less context dependent, and being useful for short sessions. This allows us to answer two questions posited by Jadud in 2006 that have until now been unanswered. Second, we compare the EQ and RED scores using data from an empirical control/intervention group study involving an editor which enhances compiler error messages. This intervention group has been previously shown to have a reduced overall number of student errors, number of errors per student, and number of repeated student errors per compiler error message. In this research we find a reduction in EQ, providing further evidence that error message enhancement has positive effects. In addition we find a significant reduction in RED providing evidence that this metric is valid.","Inseong Jeon,전인성,Song Ki Sang,Song Kisang,Ki-Sang Song",,2016
10.1007/s10639-017-9659-1,,,ViLLE – collaborative education tool: Designing and utilizing an exercise-based learning environment,"Automatically assessed exercises with immediate feedback can be a powerful tool for enhancing the effectiveness of education. In this article, we discuss the design and implementation of a collaborative learning tool called ViLLE. The design is based on experiences gathered from a previously developed and thoroughly researched visualization tool. Based on our earlier results and current educational theories, we developed four design principles upon which ViLLE is constructed. ViLLE includes various different exercise types which were designed to assist in the learning of computer science, mathematics and other subjects. It also supports different learning and teaching methods, such as pair programming and peer review. To justify the development of a new environment, we present four diverse case studies where ViLLE was utilized successfully: programming education, high school matriculation exam, elementary school mathematics and student counseling at university level. The results obtained from the studies seem to confirm that ViLLE can be used effectively to enhance student motivation and to improve student performance in various heterogeneous educational setups.","Iulian Neamtiu,Jeffrey S. Foster,Michael Hicks",Education and Information Technologies,2018
10.1080/08923647.2020.1696140,,,Student Engagement Level in an e-Learning Environment: Clustering Using K-Means.,"ABSTRACTE-learning platforms and processes face several challenges, among which is the idea of personalizing the e-learning experience and to keep students motivated and engaged. This work is part ...","J. Brainerd,B. Becker",American Journal of Distance Education,2020
10.1145/3372782.3406264,,,Adaptive Immediate Feedback Can Improve Novice Programming Engagement and Intention to Persist in Computer Science,"Prior work suggests that novice programmers are greatly impacted by the feedback provided by their programming environments. While some research has examined the impact of feedback on student learning in programming, there is no work (to our knowledge) that examines the impact of adaptive immediate feedback within programming environments on students' desire to persist in computer science (CS). In this paper, we integrate an adaptive immediate feedback (AIF) system into a block-based programming environment. Our AIF system is novel because it provides personalized positive and corrective feedback to students in real time as they work. In a controlled pilot study with novice high-school programmers, we show that our AIF system significantly increased students' intentions to persist in CS, and that students using AIF had greater engagement (as measured by their lower idle time) compared to students in the control condition. Further, we found evidence that the AIF system may improve student learning, as measured by student performance in a subsequent task without AIF. In interviews, students found the system fun and helpful, and reported feeling more focused and engaged. We hope this paper spurs more research on adaptive immediate feedback and the impact of programming environments on students' intentions to persist in CS.",J. R. Quinlan,,2020
10.1145/572139.572181,,,"A multi-national, multi-institutional study of assessment of programming skills of first-year CS students","In computer science, an expected outcome of a student's education is programming skill. This working group investigated the programming competency students have as they complete their first one or two courses in computer science. In order to explore options for assessing students, the working group developed a trial assessment of whether students can program. The underlying goal of this work was to initiate dialog in the Computer Science community on how to develop these types of assessments. Several universities participated in our trial assessment and the disappointing results suggest that many students do not know how to program at the conclusion of their introductory courses. For a combined sample of 216 students from four universities, the average score was 22.89 out of 110 points on the general evaluation criteria developed for this study. From this trial assessment we developed a framework of expectations for first-year courses and suggestions for further work to develop more comprehensive assessments.","Jacqueline Wong,Martine Baars,Dan Davis,Tim van der Zee,Geert-Jan Houben,Fred Paas",SIGCSE bulletin,
,,,Emergent geometric organization and informative dimensions in coevolutionary algorithms,"Coevolutionary algorithms vary entities which can play two or more distinct, interacting roles, with the hope of producing raw material from which a highly-capable composition can be constructed. Ranging in complexity from autodidactic checkers-learning systems to the evolution of competing agents in 3-d simulated physics, applications of these algorithms have proved both motivating and perplexing. Successful applications inspire further application, supporting the belief that a correctly implemented form of evolution by natural selection can produce highly-capable entities with minimal human input or intervention. However, the successes to date have generated limited insight into how to transfer success to other domains. On the other hand, failed applications leave behind a frustratingly opaque trace of misbehavior. In either case, the question of what worked or what went wrong is often left open. 
One impediment to understanding the dynamics of coevolutionary algorithms is that the interactive domains explored by these algorithms typically lack an explicit objective function. Such a function is a clear guide for judging the progress or regress of an algorithm. However, in the absence of an explicit yardstick to judge the value of coevolving entities, how should they be measured? 
To begin addressing this question, we start with the observation that in any interaction, an entity is not only performing a task, it is also informing about the capabilities of its interactants. In other words, an interaction can provide a measurement. Entities themselves can therefore be treated as measuring rods, here dubbed informative dimensions, against which other entities are incented to improve. It is argued that when entities are only incented to perform well, and adaptation of the function of measurement is neglected, algorithms tend not to keep informative dimensions and thus fail to produce high-performing entities. 
It is demonstrated empirically that algorithms which are sensitized to these yardsticks through an informativeness mechanism have better dynamic behavior; in particular, known pathologies such as overspecialization, cycling, or relative overgeneralization are mitigated. We argue that in these cases an emergent geometric organization of the population implicitly maintains informative dimensions, providing a direction to the evolving population and so permitting continued improvement.","Jacques-Antoine Gauthier,Eric Widmer,Eric Widmer,Philipp Bucher,Cedric Notredame",,2007
,,,Concept-Based Curriculum and Instruction: Teaching Beyond the Facts,"Interpreting and Aligning National, State and Local Standards Interpreting and Aligning National, State, and Local Standards Ensuring Coherence in Curriculum Designing Integrated, Interdisciplinary Units A General Academic Model Integrating Curricula in School-to-Work Designs Tips from Teachers Creating Concept-Process Integrated Units","Jan H. F. Meyer,Ray Land",,1998
10.1007/s11336-011-9212-x,,,M.D. RECKASE (2009) Multidimensional Item Response Theory (Statistics for Social and Behavioral Sciences).,,"Jan L. Plass,Roxana Moreno,Roland Brünken",Psychometrika,2011
10.1145/2538862.2538886,,,Developing a pre- and post-course concept inventory to gauge operating systems learning,"Operating systems courses often present students with multiple approaches to solve a problem, often with differing trade-offs. While students are more than capable of memorizing the details of these competing approaches, they often struggle to recommend a specific approach and analyze its implications. In particular, we find that students exhibit difficultly in interpreting text-based scenario descriptions in a way that allows them to correctly choose between potential solutions when presented with a high-level, conceptual scenario.   In this paper, we describe the development of a pre- and post-course concept inventory, which we utilize to explore students' misconceptions of operating systems and their associated trade-offs. We compare the results of our assessment with in-class peer instruction questions and exam questions to characterize the areas in which students most commonly struggle with operating systems material.","Jan Skalka,Martin Drlík",,2014
10.1145/2676723.2677258,,,37 Million Compilations: Investigating Novice Programming Mistakes in Large-Scale Student Data,"Previous investigations of student errors have typically focused on samples of hundreds of students at individual institutions. This work uses a year's worth of compilation events from over 250,000 students all over the world, taken from the large Blackbox data set. We analyze the frequency, time-to-fix, and spread of errors among users, showing how these factors inter-relate, in addition to their development over the course of the year. These results can inform the design of courses, textbooks and also tools to target the most frequent (or hardest to fix) errors.","Jan Skalka,Martin Drlík",,2015
10.1002/j.2330-8516.1984.tb00049.x,,,TESTING THE LOCAL INDEPENDENCE ASSUMPTION IN ITEM RESPONSE THEORY,"Local independence and monotone increasing item characteristic curves imply nonnegative conditional covariances between all monotone increasing functions of a set of item responses given any function of the remaining item responses. This general result provides a basis for testing the local independence assumption without first specifying a parametric form for the item characteristic curve. The proposed tests are simple, have known asymptotic null distributions, and possess certain optimal properties. In an example, the local independence hypothesis is rejected for all possible forms of the monotone item characteristic curves.","Jan Skalka,Martin Drlík,Juraj Obonya",ETS Research Report Series,1984
10.1145/2591708.2591722,,,Leveraging open source principles for flexible concept inventory development,"Concept Inventory (CI) assessments, which target high-level learning goals, have proven highly valuable for higher education research. These assessments have helped to evaluate pedagogical practices among individual instructors, both within and across institutions, and have hence elevated the level of discourse on education within the community. The success of CIs in physics has inspired similar developments in computer science, with a few CIs now developed for computer science courses. However, the development of a CI typically follows a burdensome process, requiring a significant investment to produce a single CI that may be difficult to deploy due to institutional curricular differences. Furthermore, as our field continues to be shaped by technological advances, a path to faster, more modular CI development is critical.   This paper proposes an alternative CI development model and continues the discussion within the community about the need for, and path to, concept inventories throughout the computer science curriculum. Specifically, we explore the implications of an open collaboration system for CI development that would mimic the principles common to open source software communities, which have regularly demonstrated their ability to produce high-quality results.","Jan Vahrenhold,Wolfgang Paul",,2014
10.1119/1.2343497,,,Force concept inventory,,Janet C. Read,The Physics Teacher,1992
10.1145/1734263.1734299,,,Identifying student misconceptions of programming,"Computing educators are often baffled by the misconceptions that their CS1 students hold. We need to understand these misconceptions more clearly in order to help students form correct conceptions. This paper describes one stage in the development of a concept inventory for Computing Fundamentals: investigation of student misconceptions in a series of core CS1 topics previously identified as both important and difficult. Formal interviews with students revealed four distinct themes, each containing many interesting misconceptions. Three of those misconceptions are detailed in this paper: two misconceptions about memory models, and data assignment when primitives are declared. Individual misconceptions are related, but vary widely, thus providing excellent material to use in the development of the CI. In addition, CS1 instructors are provided immediate usable material for helping their students understand some difficult introductory concepts.","Jean-Philippe Bouchaud,Marc Potters",,2010
10.1145/2445196.2445254,,,Investigating factors of student learning in introductory courses,"Instructors of the introductory computer science courses, commonly called ""CS1"" and ""CS2"", face a large number of choices when designing their classes. Instructors have available to them a multitude of ways to explain each topic as well as course-wide choices such as objects-first or objects-late or using a functional or procedural language. Understanding how these options can affect student learning would help simplify these decisions. Unfortunately, just comparing how well students perform may not be accurate as it ignores the many confounding factors that could also have made a difference. To get beyond that problem, this study investigates underlying factors that affect student learning. Using a survey of instructors, we find that students' abilities are nearly always correlated with the importance that the instructor placed on a particular topic. Our results also highlight several ""hard"" topics for which student mastery and topic importance were not correlated in CS1 and only weakly correlated in CS2. While one might expect the time spent covering a topic in class to also be correlated with student mastery, we find little evidence of this. In fact, for some basic programming concepts, we document negative correlations between instructional time and learning. We discuss how instructors can use these results when organizing their courses and how the computer science education community can use this finding of ""hard"" topics to focus their efforts.",Jeannette M. Wing,,2013
10.1145/1089733.1089734,,,Lowering the barriers to programming: A taxonomy of programming environments and languages for novice programmers,"Since the early 1960's, researchers have built a number of programming languages and environments with the intention of making programming accessible to a larger number of people. This article presents a taxonomy of languages and environments designed to make programming more accessible to novice programmers of all ages. The systems are organized by their primary goal, either to teach programming or to use programming to empower their users, and then, by each system's authors' approach, to making learning to program easier for novice programmers. The article explains all categories in the taxonomy, provides a brief description of the systems in each category, and suggests some avenues for future work in novice programming environments and languages.",Jeannette M. Wing,ACM Computing Surveys,2005
10.1007/bf01099821,,,Knowledge Tracing: Modeling the Acquisition of Procedural Knowledge,"This paper describes an effort to model students' changing knowledge state during skill acquisition. Students in this research are learning to write short programs with the ACT Programming Tutor (APT). APT is constructed around a production rule cognitive model of programming knowledge, called theideal student model. This model allows the tutor to solve exercises along with the student and provide assistance as necessary. As the student works, the tutor also maintains an estimate of the probability that the student has learned each of the rules in the ideal model, in a process calledknowledge tracing. The tutor presents an individualized sequence of exercises to the student based on these probability estimates until the student has ‘mastered’ each rule. The programming tutor, cognitive model and learning and performance assumptions are described. A series of studies is reviewed that examine the empirical validity of knowledge tracing and has led to modifications in the process. Currently the model is quite successful in predicting test performance. Further modifications in the modeling process are discussed that may improve performance levels.","Jee Yeon Lee,Miah Kam,Nam Gi Han,Hanna Song",User Modeling and User-adapted Interaction,1995
